Name	Type	Description	Address	ImageURL
The Atlantic Room	Dining	Upscale seafood with ocean views at The Sanctuary.	1 Sanctuary Beach Dr	https://i.postimg.cc/KvqpcvH0/The-Atlantic-Room.jpg
Ocean Course	Golf	Pete Dye's masterpiece. Host of the 2021 PGA.	1000 Ocean Course Dr	https://...
Jasmine Porch	Dining			
The Ryder Cup Bar	Dining			
Tomasso at Turtle Point	Dining	Contemporary Italian dishes with a classic foundation, infused with local Lowcountry flavors		
Kayaking	Activities			
Fresh Fields	Shopping			
MUSC Health Kiawah Seabrook Medical Pavilion	Medical			
Roper St. Francis Hospital	Medical			
Cherrywood BBQ and Ale House	Dining			
The Player's Pub	Dining			